﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿자살|Suicide
자살예방대책|Suicide prevention
심리부검|Psychological autopsy
임상미술치료|Clinical art therapy
﻿임상미술치료|Clinical art therapy
바디이미지|Body image
불안|Anxiety
우울|Depression
﻿﻿임상미술치료|Clinical art therapy
예술심리학|Psychology of Art
시각적 사고|Visual Thinking
치료효과|Treatment Effect
﻿임상미술치료|clinical art therapy
결혼 이주여성|marriage migrant women
정신건강|anxiety
문화적응 스트레스|mental health
삶의 질|culture adaptation stress
우울|quality of life
자아존중감|self-worth
﻿﻿총담관결석|common bile duct stone
가이드라인|guideline
내시경|endoscopy
﻿﻿총담관결석|choledocholithiasis
내시경 치료|endoscopic treatment
﻿담관결석|bile duct stone
내시경유두괄약근절개술|endoscopic sphincterotomy
기계적 쇄석술|mechanical lithotripsy
전기수압 쇄석술|electrohydraulic lithotripsy
레이저 쇄석술|laser lithotripsy
﻿﻿담관내 유두 종양|intraductal papillary neoplasm
간|liver
농양|abscess
﻿﻿복막 가성점액종|pseudomyxoma peritonei
유두상 점액종양|intraductal papillary mucinous neoplasm
췌장|pancreas
점액|mucin
﻿담낭|gallbladder
신경내분비종|neuroendocrine
석회화담낭|porcelain gallbladder
﻿총수담관 담석|choledocoholithiasis
급성 간염|acute hepatitis
혈청 아미노전이효소|aminotransferase
﻿제도적 신뢰|institutional confidence
사회자본|social capital
매체이용|media use
2030세대|the 2030 Generation
﻿사회마케팅|social marketing
국가브랜드|nation brand
국가이미지대법원|nation image
﻿﻿인쇄신문|Printed Newspaper
인터넷신문|Internet Newspaper
정보제공형 기사 제호 |Informative Headline
관심유도형 기사제호|Subject-Indirectly Presenting Headline
주제은폐형 기사제호|Softness in Seriousness of the Articles
﻿﻿네트워크 중립성|Net Neutrality
미디어 보도|Media Coverage
프레이밍이론|Framing Theory
의제설정이론|Agenda-Setting Theory
내용분석|Content Analysis
의미망분석|Semantic Networks
﻿소셜미디어|Social Media
빅데이터|Big Data
커뮤니케이션 연구|Communication Research
커뮤니케이션 교육|Communication Education
﻿편성|programming
재시청|re-watching
이용과 충족|uses and gratifications
﻿﻿문화적 성향|cultural inclination
사회규범|social norms
인지된 위험|perceived risk
도덕적 책임|moral obligation
불법 다운로드|illegal downloading
﻿홍보대사|PR Ambassador
적합성|Fitness
관여도|Involvement
보건 캠페인|Health Campaign
﻿﻿지역신문발전지원 특별법|Special Act on Supporting Development of Local Newspapers
지역신문발전 조례|Ordinance on Supporting Development of Local Newspapers
지역언론|Local Press
지역신문지원정책|Supporting System of Local Newspapers
﻿커뮤니케이션 네트워크 구조|multi-network structure
비공식 커뮤니케이션 네트워크|hierarchical mono-hub network
에이전시 커뮤니케이션 네트워크|agency communication network
정보 이용 사사화|information flow privatization
communication network structure|quasi-horizontal communication society
﻿쇼호스트|show host
TV홈쇼핑|TV home shopping
설득|persuasion
저명도|celebrity
비언어|non-verbal communication
구매의도|purchase intention
