2011 NRF R&D Management Workshop|EMPTY|글로벌협력기획팀|The National Research Foundation of Korea held a workshop on March 18, 2011[[ENTER]]at COEX Inter Continental Hotel in Seoul, with aims to advance the research management.[[ENTER]]Over a hundred related researchers participated in the workshop to discuss upon[[ENTER]]the current policies and status of each nation’s management.[[ENTER]]The workshop highlighted its importance of the fields through making departmental[[ENTER]]presentations in 3 different areas; the Capability Strengthening Plan, the Program Manager[[ENTER]](PM) Management System, and the R&D Evaluation System.[[ENTER]]It is believed that this occasion had prepared the ground to develop the management[[ENTER]]system for domestic research.
2nd International Advisory Committee Meeting|EMPTY|글로벌협력기획팀|The National Research Foundation of Korea had arranged the 2nd International Advisory[[ENTER]]Committee Meeting on May 19, 2011 at Jeju-Shilla Hotel to celebrate the second year[[ENTER]]of its establishment.[[ENTER]]In fact, the meeting had a purpose to fulfill internationalization through practical consultations[[ENTER]]of overseas scholars and head researchers on various programs and systems.[[ENTER]]The areas included research support, training and management, international cooperation[[ENTER]]and further contribution to strengthening international cooperation.[[ENTER]]It is expected that this kind of occasion will help NRF to become a global leader in research[[ENTER]]management.
Attendance to the UKC 2011 and the KUSCO Committee Meeting|EMPTY|글로벌협력기획팀|Prof. Se-Jung Oh, President of NRF, is attending the UKC 2011 (US-Korea Conference on S&T[[ENTER]]and Entrepreneurship 2011) and the KUSCO Committee Meeting on August 10-15, 2011.[[ENTER]]In commemoration of KSEA's 40th anniversary, Korean S&T professionals living in foreign[[ENTER]]countries are welcomed to join the UKC 2011. President Oh will deliver remarks during[[ENTER]]the plenary session. And many areas will be examined including network management [[ENTER]]among domestic and international experts, the current S&T trends and its successful cases[[ENTER]]in advanced countries.[[ENTER]]On the other hand, the KUSCO Committee Meeting will be used to set promotional plans[[ENTER]]for programs, medium and long-term development plans, and modifications of laws[[ENTER]]and regulations.In addition, North Korean Exchange Program (WEST NKE Program)[[ENTER]]will be discussed as part of a pilot project.[[ENTER]]To briefly mention about KUSCO, it was established to enhance S&T collaboration [[ENTER]]between Korea and the U.S. and also to support Korean-American scientists[[ENTER]]and Engineers in the United States since its registration in 1995.
2011 Industry-University Collaboration EXPO in Seoul|EMPTY|글로벌협력기획팀|The 2011 Industry-University Collaboration EXPO was held on November 22-24.[[ENTER]]The event was led on a subject of “Unlimited Possibilities towards the New Innovation”.[[ENTER]]The EXPO was successfully organized and introduced 7,600 new technologies,[[ENTER]]and further described brilliant examples of Industry-University Collaboration.[[ENTER]]Moreover, the discussion regarding the technology transfer agreement was made.[[ENTER]]In addition, the program “Mentoring Creative Science Experience” was arranged[[ENTER]]for teenagers and University students to help understanding the culture and[[ENTER]]to learn the results of Industry-University Collaboration.[[ENTER]]This is considered to be the largest domestic event for Industry-University Collaboration.
New President's Policy to Support Research Program|EMPTY|홍보실| In the interview with daily newspapers, President Lee claimed to introduce the grant system to[[ENTER]]grass-roots basic research program. Support for Grass-roots Basic Research benefits 30% of[[ENTER]]natural sciences and engineering researchers nationwide.[[ENTER]] The Personal Grass-roots Basic Research supports smaller researches, and grants worth 100[[ENTER]]Million USD were disbursed for 2,231 projects last year. when the grant support system is[[ENTER]]introduced, a summary of results and a paper on thesis achievement shall be submitted on-line[[ENTER]]instead of report on results. It eases the researchers' burden of submitting documents. It also[[ENTER]]eases the burden of producing results in a limited time and encourages researchers to conduct[[ENTER]]creative and challenging researches. The period of the Personal Grass-roots Basic Research[[ENTER]]is to be extended and unified to 3 years under new policy.[[ENTER]] In return, the results of the Personal Grass-roots Basic Research will be assessed in[[ENTER]]researchers' application for post-project. Benefits will be given to excellent researcher and[[ENTER]]continuous and stable support is practicable.[[ENTER]] President Lee also claimed to consider the differences in disciplines when NRF supports basic[[ENTER]]researches. He pointed out that the same amount of grants are awarded for studies in need of[[ENTER]]expensive equipments and studies in not. He stressed to assess the differences in disciplines[[ENTER]]and set a policy to allocate budget effectively. Finally, President Lee indicated his intend to[[ENTER]]reorganize the foundation. In regard to convergence research, support in areas which has[[ENTER]]technological competitiveness and a great ripple effect, such as low-carbon green growth,[[ENTER]]climate change, energy, brain research, in priority is under investigation. He added that[[ENTER]]establishment of a research group to promote a convergence of humanities social and[[ENTER]]scientific technology.
Fifty one universities chosen for the LINC|EMPTY|홍보실|The NRF selected 51 universities(14 universities of technological innovation type, 37[[ENTER]]universities of onsite type) as the final university to support the Leaders in INdustry-[[ENTER]]university Cooperation(LINC) program. For this program we allocated 170 million USD in FY1012. The LINC program aims to create and diffuse[[ENTER]]various Industry-University cooperation models which is linked to local industries. It[[ENTER]]selects LINC program supporting universities through formula assessment, the first[[ENTER]]stage of the evaluation and program plan and industries satisfaction survey[[ENTER]]assessment in the second stage.[[ENTER]] The LINC program is to support a symbiosis between the local universities and the[[ENTER]]local industries through human resources development and technology development[[ENTER]]which is to meet the needs of local industries. Both regions' universities and its[[ENTER]]industries cooperate to improve university education systems in the area and ease[[ENTER]]unemployment. They also support specialization of universities which reflects the[[ENTER]]needs of local industries. The LINC program is also to expand industry-university[[ENTER]]cooperation to the entire universities and promote university system reforms in order[[ENTER]]that industry-universities cooperation can be positioned as one of major activities of[[ENTER]]university along with education and research.[[ENTER]] 
Science Touch on Friday Science Camp has hold|EMPTY|홍보실|National Research Foundation of Korea hosted an overnight camp called "Science Touch on Friday[[ENTER]]Winter Science Camp" from Jan. 30 through 31. Seventy people including 50 excellent teenager[[ENTER]]participants of the Touch Science on Friday Lectures and some instructors participated in the[[ENTER]]camp. On Monday 30, variety of experience programs such as a meeting with STEAM, learning a[[ENTER]]science story by plays, mysterious exploration of life were run. On Tuesday 31, they visited the[[ENTER]]Global Core Research Center for Ship and Offshore Plants and had a chance to experience the[[ENTER]]newest research facilities and to spend time with researchers.[[ENTER]][[ENTER]]After its start off in Daejeon in January of 2010, the fifth Science Touch on Friday Science Camp is[[ENTER]]under way at regions the Touch Science on Friday Lectures take place like Daegu, Gwangju and[[ENTER]]Seoul. It is being highly acclaimed.
MEST S&T Budget for 2012|EMPTY|글로벌협력기획팀|The Ministry of Education, Science and Technology (MEST) plans to increase S&T budget[[ENTER]]for the next year, from 3.4 billion to 3.8 billion (USD), by an increase of 12%.[[ENTER]]The individual basic research budget in Science and Engineering will be expanded[[ENTER]]from 681 million to 727 million (USD) in 2012. This will be supported by the following[[ENTER]]steps, 338 million to general scientists, 287 million to senior scientists, and 518 million[[ENTER]]to leader researchers.[[ENTER]]Also the budget for ISBB (International Science and Business Belt) will be expanded[[ENTER]]amazingly from 10 million this year to 190 million next year. This will be mainly used[[ENTER]]for heavy ion accelerators, research infrastructures, and research funding.[[ENTER]]In addition, Bio-medical technology has a grant about 130 billion (USD) which is increased[[ENTER]]by 21.8%. Especially, stem cell research receives much attention nowadays and thus it is[[ENTER]]expected to be invested 31 million (USD) in 2012.[[ENTER]]This is 20 million more compare to this year.[[ENTER]]The 2012 budget plan of Education Ministry will be finalized after the upcoming[[ENTER]]National Assembly's deliberation.
Development of the new technology for the fastest and inexpensive supercomputer|EMPTY|글로벌협력기획팀|New software technology to enable the world's fastest supercomputer with a smaller installation[[ENTER]]costs and electricity was developed by Korean scientists[[ENTER]]This result lead by Prof. Jae-jin Lee of Seoul National University was created through the Leading[[ENTER]]Researcher Program of National Research Foundation of Korea.[[ENTER]]Prof. Lee's research team installs up to six CPUs to each node, unlike the ordinary[[ENTER]]supercomputers, and accelerated the speed of calculation per node of existing supercomputers to[[ENTER]]the world's fastest level.[[ENTER]]*) node: One or more unit(s) which is accessed to passage date delivered. Often refer to branch[[ENTER]]point of communication network or connection point of apparatus.[[ENTER]]Installing multiple GPUs to one node can up the speed of calculation per node, and any amount of[[ENTER]]calculation can be processed at once with a small number of nodes. If it is possible, installation[[ENTER]]costs of supercomputers and electricity consumed can be dramatically cut down.[[ENTER]]Two CPUs at most could be installed to most of supercomputers so far due to the undeveloped[[ENTER]]software technology of installation of multiple GPUs, whereas more than three GPUs could be[[ENTER]]installed to each node using software technology developed by Prof. Lee's team. An effective[[ENTER]]calculation is expected.
9th Asia-HORCs Meeting took place in Daejoen|EMPTY|글로벌협력기획팀|The 9th A-HORCs (Head of Asian Research Councils) Meeting and the Northeastern Asian[[ENTER]]Symposium in parallel took place at Hotel Riviera Daejoen on September 25 - 28, 2011.[[ENTER]]The events were successfully held in the presence of delegations from National Research[[ENTER]]Foundation of Korea (NRF), National Natural Science Foundation of China (NSFC), and[[ENTER]]Japan Society for the Promotion of Science (JSPS).[[ENTER]]The meeting first began by President Se-Jung Oh’s opening remarks on behalf of the NRF,[[ENTER]]and later delegations from all three countries presented on the topic, “S&T Policy[[ENTER]]for Enhancing Green Innovation”. Afterwards, they closely discussed regarding[[ENTER]]on the trilateral scientific cooperation.[[ENTER]]JSPS led the discussion to decide on the title, the date, and venue for the next year’s[[ENTER]]Meeting. The 2012 A-HORCs meeting is planned to be held in Japan, September 2012[[ENTER]]as of now and other related matters will be confirmed shortly.[[ENTER]]This year was more interesting because NSFC and JSPS were given a chance to visit[[ENTER]]National Fusion Research Institute (KSTAR Tour) and the newly inaugurated R&D buildings[[ENTER]]of NRF whilst visiting Chungnamdae and Beopjusa Temple was another plan to make[[ENTER]]their stays more meaningful and enjoyable.
