The purpose of this Act is to promote fair and free competition, to encourage thereby creative enterprising activities, to protect consumers and to strive for balanced development of the national economy, by preventing any abuse of market-dominating positions by enterprisers and any excessive concentration of economic power, and by regulating undue collaborative acts and unfair trade practices.|이 법은 사업자의 시장지배적지위의 남용과 과도한 경제력의 집중을 방지하고, 부당한 공동행위 및 불공정거래행위를 규제하여 공정하고 자유로운 경쟁을 촉진함으로써 창의적인 기업활동을 조장하고 소비자를 보호함과 아울러 국민경제의 균형있는 발전을 도모함을 목적으로 한다.
The terms used in this Act shall be defined as follows: <Amended by Act No. 4513, Dec. 8, 1992; Act No. 5235, Dec. 30, 1996; Act No. 5813, Feb. 5, 1999; Act No. 6371, Jan. 16, 2001; Act No. 7315, Dec. 31, 2004; Act No. 8387, Apr. 27, 2007; Act No. 8631, Aug. 3, 2007>|이 법에서 사용하는 용어의 정의는 다음과 같다. <개정 1992.12.8, 1996.12.30, 1999.2.5, 2001.1.16, 2004.12.31, 2007.4.27, 2007.8.3>
In cases where any act that performs even abroad affects the domestic market, this Act shall apply to such act.|이 법은 국외에서 이루어진 행위라도 국내시장에 영향을 미치는 경우에는 적용한다.
[This Article Newly Inserted by Act No. 7315, Dec. 31, 2004]|[본조신설 2004.12.31]
[This Article Newly Inserted by Act No. 5235, Dec. 30, 1996]|[본조신설 1996.12.30]
An enterpriser (excluding the enterpriser whose annual amount of sales or purchase in a particular business area is less than 4 billion won) whose market share in a particular business area falls under any of the following subparagraphs shall be presumed a market-dominating enterpriser referred to in subparagraph 7 of Article 2: <Amended by Act No. 8631, Aug. 3, 2007>|일정한 거래분야에서 시장점유율이 다음 각 호의 어느 하나에 해당하는 사업자(일정한 거래분야에서 연간 매출액 또는 구매액이 40억원 미만인 사업자는 제외한다)는 제2조(정의)제7호의 시장지배적 사업자로 추정한다. <개정 2007.8.3>
[This Article Wholly Amended by Act No. 5813, Feb. 5, 1999]|[전문개정 1999.2.5]
Where there exists any act of violating the provisions of Article 3-2, the Fair Trade Commission may order the market-dominating enterpriser concerned to reduce the price, discontinue the act of violation, publish the fact that the latter is ordered to make the correction thereof, and to take other measures necessary for correction. <Amended by Act No. 5235, Dec. 30, 1996; Act No. 7315, Dec. 31, 2004>|공정거래위원회는 제3조의2(시장지배적지위의 남용금지)의 규정에 위반하는 행위가 있을 때에는 당해 시장지배적사업자에 대하여 가격의 인하, 당해 행위의 중지, 시정명령을 받은 사실의 공표 기타 시정을 위한 필요한 조치를 명할 수 있다. <개정 1996.12.30, 2004.12.31>
In cases of abusive acts by a market-dominating enterpriser, the Fair Trade Commission may impose upon such enterpriser a surcharge not exceeding the amount equivalent to 3/100 of the turnover determined by Presidential Decree (referring to profits of business particularly for an enterpriser designated by Presidential Decree; hereinafter the same shall apply): Provided, That in cases prescribed by Presidential Decree, where no turnover exists, or where it is difficult to compute the turnover (hereinafter referred to as "in the absence of turnover, etc."), a penalty surcharge may be imposed by up to one billion won.|공정거래위원회는 시장지배적사업자가 남용행위를 한 경우에는 당해 사업자에 대하여 대통령령이 정하는 매출액(대통령령이 정하는 사업자의 경우에는 영업수익을 말한다. 이하 같다)에 100분의 3을 곱한 금액을 초과하지 아니하는 범위안에서 과징금을 부과할 수 있다. 다만, 매출액이 없거나 매출액의 산정이 곤란한 경우로서 대통령령이 정하는 경우(이하 "매출액이 없는 경우등"이라 한다)에는 10억원을 초과하지 아니하는 범위안에서 과징금을 부과할 수 있다.
[This Article Wholly Amended by Act No. 5235, Dec. 30, 1996]|[전문개정 1996.12.30]
